student_id,age,gender,study_hours_per_day,sleep_hours_per_day,social_media_hours_per_day,attendance_pct,part_time_job,extracurricular,tutoring,parental_education,internet_access,stress_level,previous_score,exam_score
STU2737,17,Male,4.7,8.3,2.2,76.5,No,No,No,Masters,Yes,8.0,100.0,96.9
STU2819,17,Female,1.6,6.7,6.3,77.2,No,Yes,No,High School,Yes,3.0,34.9,53.7
STU2316,15,Male,4.1,6.0,3.8,88.1,No,Yes,No,High School,Yes,8.0,73.0,88.9
STU3089,16,Female,4.0,6.3,3.8,92.9,No,Yes,No,Bachelors,Yes,5.0,45.8,67.5
STU2198,18,Female,3.2,5.9,1.7,86.1,Yes,No,No,High School,Yes,6.0,68.8,69.6
STU2216,15,Female,2.2,6.8,3.1,90.1,No,No,Yes,Bachelors,Yes,5.0,58.7,74.1
STU3441,17,Female,2.8,8.8,2.9,83.1,Yes,No,No,PhD,Yes,2.0,80.0,88.3
STU3449,17,Female,2.3,9.0,3.6,90.1,No,No,No,High School,Yes,5.0,68.7,80.0
STU3487,17,Male,3.5,5.9,0.4,78.6,Yes,Yes,No,Masters,Yes,6.0,74.1,85.5
STU2866,16,Male,4.5,3.4,2.1,92.6,Yes,Yes,No,Masters,Yes,6.0,79.0,77.9
STU2815,18,Female,4.1,6.1,0.3,88.9,Yes,No,No,High School,Yes,6.0,61.4,85.7
STU2131,17,Male,3.0,,1.7,77.3,No,Yes,No,Bachelors,Yes,8.0,79.6,80.8
STU3187,17,Male,0.0,6.5,5.4,67.5,Yes,No,No,Masters,Yes,5.0,75.2,69.5
STU2204,16,Male,2.5,7.8,2.1,82.7,Yes,No,No,Masters,Yes,7.0,66.7,75.3
STU2987,18,Male,4.2,7.9,5.0,90.9,No,No,Yes,Bachelors,Yes,4.0,67.8,84.4
STU3107,15,Male,4.8,6.0,3.6,75.1,Yes,No,No,PhD,Yes,4.0,63.3,77.3
STU2498,16,Female,1.7,6.4,2.2,75.3,No,No,No,Masters,Yes,6.0,73.7,79.2
STU2317,15,Female,4.3,7.5,4.7,88.8,No,Yes,Yes,Bachelors,Yes,8.0,64.8,81.2
STU3123,18,Female,2.6,7.6,3.8,84.3,No,Yes,Yes,Bachelors,Yes,2.0,59.8,71.0
STU2264,16,Male,1.0,4.1,3.4,89.7,Yes,No,No,PhD,No,9.0,61.6,39.7
STU3344,18,Male,4.2,5.2,5.4,82.5,No,No,Yes,High School,Yes,9.0,61.8,69.6
STU2838,18,Female,3.5,7.3,3.3,89.3,Yes,Yes,No,High School,Yes,4.0,62.1,58.0
STU2937,18,Male,1.8,6.2,3.2,95.0,Yes,Yes,No,High School,Yes,7.0,71.8,72.5
STU2121,15,Male,4.0,8.5,6.0,100.0,Yes,No,No,Bachelors,Yes,6.0,61.4,78.0
STU2895,18,Male,1.0,4.6,3.1,72.2,No,No,Yes,Bachelors,Yes,6.0,75.8,72.5
STU2711,17,Male,2.5,5.9,0.9,80.5,No,No,No,Bachelors,Yes,6.0,72.2,79.9
STU2157,18,Female,2.5,5.4,3.0,98.3,No,Yes,Yes,Masters,Yes,4.0,76.9,87.1
STU3179,18,Male,5.5,8.5,2.6,100.0,No,No,No,High School,Yes,5.0,75.7,100.0
STU3232,17,Female,3.6,8.4,2.6,91.0,No,No,Yes,Masters,No,5.0,48.3,83.4
STU2612,18,Female,3.7,7.0,4.5,82.5,No,No,No,High School,Yes,5.0,73.7,81.4
STU2065,15,Male,1.6,6.3,2.1,76.6,Yes,Yes,No,Bachelors,Yes,3.0,40.7,57.1
STU2199,15,Female,4.9,7.4,2.1,96.7,No,No,No,Bachelors,Yes,4.0,70.0,94.0
STU2566,18,Female,3.3,6.2,4.5,80.7,No,Yes,No,Bachelors,Yes,10.0,81.8,74.4
STU2027,18,Male,2.6,6.7,3.7,84.2,No,Yes,No,Bachelors,Yes,5.0,73.3,69.2
STU3260,16,Female,4.6,5.8,4.4,79.4,No,Yes,No,Bachelors,Yes,4.0,72.7,88.2
STU2107,18,Female,2.6,6.8,0.0,87.7,No,Yes,No,High School,Yes,5.0,65.3,93.5
STU2708,16,Male,5.3,6.9,4.9,88.7,No,No,Yes,Masters,Yes,6.0,85.2,100.0
STU2150,17,Female,2.8,6.4,2.8,88.0,No,No,No,Bachelors,Yes,4.0,53.5,70.2
STU3070,18,Male,1.5,,5.2,72.8,No,No,No,PhD,Yes,5.0,48.0,70.7
STU3417,16,Male,2.6,8.0,7.2,93.3,No,No,No,High School,Yes,7.0,56.3,64.7
STU2411,17,Male,0.5,7.1,3.2,82.9,No,No,Yes,High School,Yes,8.0,85.0,70.8
STU2232,18,Female,3.2,9.2,3.9,83.1,Yes,No,No,Masters,Yes,5.0,62.2,78.4
STU2623,17,Male,4.4,7.3,3.3,94.4,No,No,No,High School,Yes,9.0,78.8,87.4
STU2374,17,Female,3.7,7.2,2.9,62.0,Yes,No,No,High School,Yes,3.0,55.6,76.0
STU2448,16,Female,4.0,7.1,7.7,89.9,No,No,No,PhD,Yes,3.0,83.6,87.3
STU2755,16,Male,6.0,7.4,3.8,91.6,No,No,No,High School,Yes,4.0,64.8,96.7
STU2197,15,Male,2.5,6.6,5.0,90.9,No,No,Yes,High School,Yes,4.0,58.2,69.4
STU2781,15,Male,4.0,5.8,3.9,78.7,No,Yes,Yes,Bachelors,Yes,4.0,81.3,93.1
STU2477,17,Female,4.0,5.6,3.0,90.0,No,No,No,Bachelors,Yes,5.0,65.9,88.3
STU2787,16,Female,3.5,,3.6,100.0,Yes,No,No,High School,Yes,4.0,56.3,83.1
STU3309,15,Female,3.6,7.1,3.5,79.2,No,No,No,,No,3.0,63.4,69.6
STU2965,16,Female,3.1,7.6,3.8,80.8,No,No,Yes,Bachelors,Yes,6.0,63.2,82.2
STU3228,15,Male,1.2,6.5,3.2,100.0,No,No,No,Masters,Yes,4.0,83.3,84.6
STU2923,16,Female,5.1,7.0,4.0,88.7,Yes,Yes,No,Bachelors,Yes,5.0,56.5,80.7
STU2377,17,Male,1.0,6.3,3.7,86.9,No,Yes,No,High School,Yes,8.0,51.6,58.9
STU2587,15,Male,3.9,6.6,4.8,94.4,Yes,No,No,High School,No,7.0,57.4,68.8
STU2003,17,Male,4.1,6.9,3.0,86.5,No,No,No,Bachelors,Yes,5.0,74.7,85.5
STU2493,17,Female,3.7,5.4,3.0,82.9,No,No,Yes,Masters,Yes,9.0,61.9,88.5
STU2573,15,Female,2.7,5.2,1.2,100.0,No,No,No,Masters,No,8.0,63.9,81.7
STU2927,17,Male,4.2,6.6,4.3,91.0,No,No,Yes,Bachelors,Yes,5.0,68.8,78.4
STU2288,18,Male,6.8,7.0,3.4,70.7,No,Yes,No,High School,Yes,6.0,59.9,89.4
STU2861,16,Female,1.5,7.8,3.0,86.2,No,No,No,Bachelors,Yes,8.0,80.8,78.7
STU3160,17,Male,3.3,6.8,2.5,78.7,Yes,No,No,Bachelors,Yes,4.0,80.9,80.8
STU2611,17,Female,4.4,6.2,4.4,68.6,No,No,Yes,PhD,Yes,4.0,60.4,78.4
STU3294,15,Female,4.7,5.2,3.5,87.4,No,No,No,PhD,Yes,5.0,53.5,79.7
STU2148,17,Male,0.9,6.0,5.6,68.4,Yes,Yes,Yes,Bachelors,Yes,3.0,61.4,60.0
STU3047,18,Female,3.2,7.0,0.0,97.8,No,No,No,PhD,Yes,9.0,42.3,81.6
STU2160,15,Female,0.0,5.5,4.2,100.0,No,No,No,Masters,No,7.0,54.7,69.6
STU3236,17,Female,2.2,8.5,0.8,100.0,No,Yes,No,High School,Yes,4.0,54.2,90.1
STU2304,15,Male,25.66378397137135,5.7,3.5,91.1,No,No,No,Masters,Yes,6.0,43.6,77.2
STU3041,16,Female,3.5,4.9,3.1,82.4,No,Yes,No,Bachelors,Yes,7.0,74.9,79.4
STU2475,18,Female,5.6,6.1,3.4,90.7,Yes,Yes,No,Bachelors,Yes,4.0,70.7,100.0
STU3351,18,Female,4.4,5.0,4.6,96.2,No,No,No,PhD,Yes,7.0,72.6,82.8
STU3418,15,Male,3.0,6.4,2.2,88.2,No,Yes,No,High School,Yes,10.0,74.4,80.6
STU2112,16,Male,2.5,3.0,2.0,97.5,No,No,No,Bachelors,Yes,6.0,57.6,72.7
STU2318,16,Male,1.4,6.3,0.5,90.6,No,Yes,No,High School,Yes,4.0,88.2,86.8
STU2081,16,Male,3.8,7.5,1.9,96.7,No,No,Yes,PhD,Yes,6.0,65.6,96.3
STU2515,15,Female,5.0,5.7,2.9,90.4,No,Yes,Yes,Bachelors,Yes,3.0,65.5,92.5
STU2144,18,Male,3.0,8.6,5.1,87.3,Yes,Yes,No,Bachelors,Yes,8.0,55.4,60.0
STU3489,18,Male,2.8,6.6,3.6,80.7,No,No,Yes,Masters,No,5.0,76.9,80.5
STU3248,15,Male,5.5,5.3,3.6,85.9,No,No,No,Masters,Yes,9.0,63.2,82.6
STU3348,16,Female,4.1,5.4,2.2,70.7,No,No,No,High School,Yes,4.0,77.6,84.1
STU2881,16,Male,4.6,7.6,4.3,100.0,No,Yes,Yes,High School,Yes,6.0,86.3,92.6
STU3151,16,Female,7.5,4.9,4.0,70.6,No,No,No,Bachelors,Yes,6.0,68.6,100.0
STU3095,16,Male,3.1,7.7,4.4,92.3,No,Yes,Yes,Masters,Yes,6.0,100.0,98.1
STU2416,18,Male,5.8,,1.5,93.9,Yes,No,Yes,Masters,Yes,8.0,57.2,100.0
STU2137,16,Male,4.1,8.3,0.0,76.7,No,Yes,No,Bachelors,No,8.0,53.1,69.2
STU2845,16,Male,4.9,5.2,0.0,78.1,Yes,No,No,Bachelors,Yes,3.0,75.9,99.2
STU2979,16,Male,2.8,6.3,3.8,70.1,No,No,No,Bachelors,Yes,6.0,65.5,62.7
STU2349,16,Male,4.1,6.7,0.6,82.5,No,Yes,No,Bachelors,No,8.0,67.2,88.9
STU3181,17,Male,4.2,8.3,2.0,84.7,No,Yes,No,High School,Yes,6.0,55.1,80.2
STU2608,17,Female,2.5,6.1,4.6,87.4,No,No,No,Masters,Yes,5.0,75.3,81.8
STU3431,17,Female,4.7,7.2,2.7,79.0,Yes,Yes,Yes,Bachelors,Yes,6.0,80.6,99.8
STU2001,15,Female,1.9,6.6,1.8,81.8,No,No,Yes,High School,Yes,7.0,56.1,68.3
STU3192,16,Male,3.0,7.4,3.8,87.6,No,Yes,No,Bachelors,Yes,7.0,70.2,73.9
STU2829,17,Female,3.8,6.6,0.9,87.7,No,No,No,Masters,Yes,5.0,75.0,85.9
STU3234,16,Male,2.7,5.5,2.3,65.5,Yes,No,No,PhD,Yes,8.0,71.8,71.2
STU3155,17,Female,3.8,,6.9,81.3,No,Yes,No,Bachelors,Yes,5.0,56.2,65.7
STU2373,15,Female,3.9,6.6,2.8,70.1,No,No,No,PhD,Yes,7.0,68.3,83.1
STU3363,15,Male,1.5,7.0,4.6,80.5,No,Yes,No,Masters,Yes,8.0,62.9,56.9
STU2549,17,Female,2.7,8.2,5.7,74.8,No,No,No,Bachelors,Yes,5.0,57.1,78.6
STU3035,17,Female,4.0,8.5,2.9,100.0,No,Yes,Yes,High School,Yes,7.0,75.9,87.4
STU2934,16,Female,2.2,5.1,3.3,77.6,No,Yes,No,Bachelors,Yes,5.0,66.6,64.8
STU2554,16,Female,2.5,8.0,1.9,80.6,No,No,No,Masters,Yes,9.0,60.2,71.6
STU2638,17,Male,4.0,6.2,4.9,79.2,Yes,No,No,Bachelors,Yes,4.0,72.4,83.8
STU2187,15,Female,5.4,5.5,2.3,83.0,No,Yes,No,Masters,Yes,5.0,58.1,88.5
STU2087,18,Female,2.3,7.0,5.4,83.2,No,No,No,High School,Yes,4.0,71.9,69.6
STU3327,15,Male,4.8,,4.4,83.6,No,No,No,Bachelors,Yes,6.0,55.8,61.8
STU2360,17,Male,3.7,9.0,4.6,87.6,No,No,No,Masters,Yes,3.0,70.8,89.3
STU3028,18,Male,6.0,8.7,0.5,70.3,Yes,Yes,Yes,Bachelors,Yes,4.0,77.8,100.0
STU2381,15,Male,4.3,7.2,3.3,83.6,Yes,No,No,Bachelors,Yes,6.0,73.2,82.3
STU2816,16,Female,3.7,8.2,1.1,83.4,No,Yes,No,PhD,Yes,6.0,70.7,85.7
STU2006,18,Male,3.4,7.1,6.2,77.5,No,No,No,High School,Yes,10.0,30.7,51.1
STU2248,17,Female,0.9,5.6,5.6,71.4,No,Yes,No,High School,No,5.0,56.1,47.9
STU2890,15,Female,3.7,5.3,4.7,82.9,No,No,No,High School,No,4.0,51.6,71.1
STU2031,15,Female,3.8,7.2,3.3,100.0,No,No,No,Masters,Yes,5.0,80.8,100.0
STU2247,15,Female,1.4,8.7,5.1,68.8,Yes,No,No,Masters,No,6.0,80.4,65.1
STU2954,15,Female,5.6,7.4,1.4,91.4,Yes,Yes,No,Bachelors,Yes,6.0,74.4,100.0
STU3129,15,Female,3.6,5.1,3.5,98.2,Yes,No,No,High School,Yes,8.0,81.8,73.7
